archipelago ; архипелаг ; группа островов, расположенных близко друг к другу ; “You made your way toward this archipelago.” ; Слово происходит из греческого и изначально означало не острова, а Эгейское море.
seafloor ; морское дно ; нижняя поверхность океана или моря ; “You slowly bound along the seafloor.” ; В британском английском чаще используется слово seabed.
capsized ; перевернувшийся ; оказавшийся вверх дном (о судне) ; “The ship had been capsized.” ; Слово пришло из испанского capuzar — «нырять вниз головой».
scramble ; карабкаться ; быстро и неловко передвигаться ; “They begin to scramble out.” ; Также означает «взбалтывать» — scrambled eggs.
ritual ; ритуал ; установленная последовательность действий ; “You begin the ritual.” ; Используется и в психологии — ritual behavior.
incantation ; заклинание ; магические слова, произносимые вслух ; “She whispers the incantation.” ; От латинского incantare — «петь над».
abyss ; бездна ; очень глубокое пространство или пропасть ; “The darkness feels like an abyss.” ; Часто употребляется метафорически.
submerged ; погружённый ; полностью находящийся под водой ; “The temple lies submerged.” ; Противоположность — emerge.
lurking ; таящийся ; скрывающийся в ожидании ; “Something is lurking nearby.” ; Часто используется в хорроре.
chamber ; зал ; большое внутреннее помещение ; “You enter the chamber.” ; В фэнтези часто royal chambers.
carving ; резьба ; вырезанные изображения на поверхности ; “Strange carvings on stone.” ; Часто используется для описания артефактов.
threshold ; порог ; граница входа или начала ; “You cross the threshold.” ; Может означать и «предел» — pain threshold.
ward ; магическая защита ; защитное заклинание или барьер ; “The ward begins to flicker.” ; В староанглийском означало «страж».
flicker ; мерцать, дрожать ; нестабильно светиться ; “The light flickers briefly.” ; Используется и для эмоций — flicker of hope.
entity ; сущность ; самостоятельное существо или объект ; “A massive entity rises.” ; Популярно в философии и фантастике.
tether ; привязывать ; соединять или удерживать на привязи ; “You feel tethered to it.” ; Также используется метафорически — tethered to reality.
collapse ; рушиться ; внезапно падать или разрушаться ; “The structure begins to collapse.” ; Может означать и «крах» экономики.
distorted ; искажённый, извращённый ; изменённый по форме или звучанию ; “A distorted silhouette appears.” ; Часто используется в аудио и психологии.
currents ; течения ; направленное движение воды ; “Strong currents pull at you.” ; Может означать и «текущие события».
pressure ; давление ; физическая сила, воздействующая на объект ; “You feel the ocean pressure.” ; Используется и в переносном смысле.
echoing ; отдающийся эхом ; звук, повторяющийся отражением ; “Your voice is echoing.” ; Часто в описаниях пещер.
hollow ; полый ; имеющий пустоту внутри ; “A hollow chamber.” ; Может означать и «пустой» эмоционально.
sphere ; сфера ; трёхмерная фигура в форме шара ; “The third of these spheres.” ; В переносном смысле — sphere of influence.
tentative ; нерешительный ; сделанный без уверенности ; “A tentative step forward.” ; Часто используется в академическом английском.
emanate ; исходить, излучать ; распространяться из источника ; “Light emanates from within.” ; От латинского emanare — «вытекать».
resurface ; всплывать ; появляться снова на поверхности ; “You resurface slowly.” ; Часто используется метафорически — memories resurface.
glow ; сияние ; ровный мягкий свет ; “A faint glow emanates.” ; Glow сильнее, чем glimmer.
surge ; всплеск ; резкое увеличение силы или энергии ; “A surge of energy.” ; Часто используется в новостях — surge in prices.
shattered ; разбитый, расколотый ; разрушенный на множество частей ; “Fragments of shattered stone.” ; Может описывать и эмоциональное состояние.
lurker ; скрывающийся наблюдатель ; тот, кто наблюдает, не проявляя себя ; “A lurking presence nearby.” ; Популярный интернет-термин.
precipice ; обрыв ; крутой край скалы ; “You stand at the precipice.” ; Часто используется метафорически — on the precipice of change.
anciently ; в древности ; относящийся к далёкому прошлому ; “An anciently crafted seal.” ; Редкая форма, чаще используется ancient.
seal ; печать ; магический или физический знак запечатывания ; “You approach the second seal.” ; Может означать и морское животное.
ritualistic ; ритуальный ; связанный с выполнением ритуалов ; “A ritualistic pattern forms.” ; Часто используется в психологии.
abyssal ; бездонный ; относящийся к глубинам океана ; “An abyssal darkness surrounds you.” ; Используется в биологии — abyssal zone.
silt ; ил ; мелкий песок и глина, оседающие на дне воды ; “Your feet pushing into the silt.” ; Есть фразовый глагол to silt up — «заиливаться».
volley ; залп ; одновременный выстрел нескольких орудий ; “They let loose a volley of cannon fire.” ; В спорте означает удар с лёта.
tendrils ; тонкие отростки ; длинные тонкие части растения или подобные им формы ; “Dark tendrils reach toward you.” ; Часто метафора: tendrils of smoke.
